restaurant;place;bridge;casino;Hospital;building;visit;park;Highlands;need;state;located;Gorge;Mall;hospital;Europe;airport;cemetery;plant;live;part;ground;city;Volcano;admissions;Circus;irs;type;Peninsula;secede;Ocean;battle;inmates;Hotel;states;found;airspace;white;President;theater;Strip;base;Bay;garage;territory;usa;style;Pines;Street;Inn;facility;clinic;go;County
desert;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
The;0.18;0;0.210526315789474;0.210526315789474;0.0833333333333333;0.210526315789474;0;0.210526315789474;0;0;0.205128205128205;0.18;0.210526315789474;0.210526315789474;0.210526315789474;0;0.195121951219512;0.210526315789474;0.0833333333333333;0;0;0.210526315789474;0.210526315789474;1;0.0833333333333333;0;0.0833333333333333;0;0.210526315789474;0;0;0;0;0;0.210526315789474;0.210526315789474;0;0;0.0833333333333333;0.210526315789474;0.210526315789474;0.210526315789474;0;0.210526315789474;0.210526315789474;0.210526315789474;0.210526315789474;0;0.210526315789474;0;0.0833333333333333;0.0833333333333333;0;0
osf;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Eastern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
connects;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
steam;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
considered;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
is;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
camping;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
nearest;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Circus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
services;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
availability;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
sungard;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
this;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Basin;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Atlantic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bellsouth;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
old;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
row;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
death;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grassmarket;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
city;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
eastern;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
to;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Plateau;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
famous;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
devon;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0
Refuge;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
wildlife;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
force;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
air;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
army;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
parking;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Sovereign;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024390243902439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
int;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024390243902439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024390243902439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
s;0.04;0;0.0526315789473684;0.0526315789473684;0;0.0526315789473684;0;0.0526315789473684;0;0;0.0512820512820513;0.04;0.0526315789473684;0.0526315789473684;0.0526315789473684;0;0.0487804878048781;0.0526315789473684;0;0;0;0.0526315789473684;0.0526315789473684;0;0;0;0;0;0.0526315789473684;0;0;0;0;0;0.0526315789473684;0.0526315789473684;0;0;0;0.0526315789473684;0.0526315789473684;0.0526315789473684;0;0.0526315789473684;0.0526315789473684;0.0526315789473684;0.0526315789473684;0;0.0526315789473684;0;0;0;0;0
Yemen;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Ontario;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Longleaf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Main;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
jack;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Comfort;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0
ideal;0;0;0;0;0;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rehabilitation;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
Shore;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
South;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
Mayo;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
Franklin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
