ID;OrgId;Question
29;9da498c7-0e3a-4bec-a1f5-f81dfbf574fc;what county in pennsylvania is Etna
30;978936f2-6770-4f93-a4e2-5f6c31ac8bbe;what county in Tennessee Collinwood
31;2991b853-3497-42b8-86ce-4e5607cf22b5;what county in Tennessee Elizabethton
32;406b1575-3d50-43af-be54-db16f946601a;what county in Tennessee Summertown
33;56d9b8ab-6e8e-4ef1-9f34-55ebb27f6404;what county is Ackerly Texas in
34;1d802b41-ebd9-4e32-b8b6-a6f846716b79;what county is ada Michigan in
35;77336d3e-2ddf-4c0e-8d5a-2c0202e93272;what county is Affton Missouri located in
36;da69cb43-e23c-4c58-a5c0-f3c8bb10ee8e;what county is Albany Missouri
37;d318f124-76f8-4865-9adb-ea6f32fd7a35;what county is Amazonia Missouri
38;aaa1762a-5e7c-4865-9b5d-228f0e18aad2;what county is Amsterdam New York
39;1e5a6704-1f6c-4c90-84f0-4f35a4a7a7bc;what county is Arlington South Dakota in
40;ca23da13-4095-4f49-9f97-4df304ca336f;what county is Ashby Massachusetts
41;cf2744c4-ab72-4f23-a4c1-d265bfc8af0b;what county is Athens Alabama
42;bcc10a04-3662-4e89-ae6f-f810dd2a88e0;what county is avon New York in
43;047df711-0287-4231-8d48-5446026a9aaf;what county is Bangor Washington in
44;b9ff0771-cd3d-4495-a3cc-8b06d5e517fb;what county is Barre Massachusetts
45;7d1797fa-b754-4908-84d5-8f8cb9cc42a9;what county is Bates City Missouri in
46;00009dbf-9105-438e-9428-9deb5f9ad31b;what county is Belgium Wisconsin
47;a511eae8-bffd-49b7-9efe-a4ac42982a57;what county is Bellville Texas in
48;b2dfd2f6-2cbf-485c-a498-54c4477055b9;what county is Beloit Wisconsin in
49;5914ee67-1c7f-4953-85a8-fea1ac7a69a7;what county is Belton Texas in
50;b3594be1-3c24-455a-9f41-6925a8753561;what county is Benwood West Virginia in
51;b392e705-4d88-4dad-ab4a-811535192f17;what county is Bertha Minnesota in
52;a0ef910b-89a8-40e0-a355-1a2d712aad1a;what county is Big Lake Minnesota in
53;3dfa1283-89f0-490c-93f6-91cb38d1067e;what county is Bismarck Illinois
54;31a83214-6eb9-4875-b94f-8b6c52a53d50;what county is Blaine
55;31f28cce-3cc4-4b7d-92a8-37fb476b2a21;what county is Blanchard Washington
56;3c14388b-d4c9-4774-be24-301127be7172;what county is Bourbon Missouri in
57;896fb150-a3be-4c72-8cb6-54a878d8eed0;what county is Bowman North Dakota
58;d3a492f0-0a74-49fb-a2cc-e9ddafa15542;what county is Brea California
59;c568656f-3d77-4f0b-a60f-f99631a5d43d;what county is Bristow Virginia
60;bfa4872f-5dfa-4c1f-a49a-c5040db39eba;what county is Brooklyn Mississippi in
61;52233591-88ad-445a-bd35-75df0fd8f481;what county is bryant in South Dakota
62;d2eda0ef-d13c-4f82-b6cd-fc1cc71dfb6e;what county is Bryson City
63;0b12868b-3369-4ee8-bb18-f3fdab9336f7;what county is Buckfield Maine in
64;bee10ec0-32e8-4515-93c5-f8d8fee54d3d;what county is Buford Georgia in
65;7f983063-53fa-4bce-badd-91ad0c215bce;what county is Caledonia Illinois
66;d24b6e99-cea6-4b40-ba07-c97b666de4c9;what county is Camp Grove Illinois
67;e9a3cf8f-acca-4199-9693-abcb7d27d52d;what county is Canton Connecticut in
68;a7ebc7ad-7a39-49fa-9da7-eefe9f598ee3;what county is Castle Rock Washington
69;a4aa9cf1-6570-4634-b82a-24a235d4a735;what county is Castro Valley California in
70;a8da63aa-14cb-4c69-997b-06e336653af8;what county is Cedar Grove New York in
71;5b195f63-33e7-4c7f-b23b-2054b13ef529;what county is celebration Florida in
72;45d5e57f-9afe-411e-9c26-cc5430e4564c;what county is Center Cross Virginia located in
73;2a027df9-895f-4fed-aa03-6f9acb82ae67;what county is Centerpoint in
74;a5339d09-176a-4f09-ad6c-492076510d7c;what county is Centerville Texas
75;5bb973d5-3b17-4be2-8d23-b563deb38016;what county is Chandler Arizona in
76;d0edaa0e-af65-4f62-b3d0-cf15441401c3;what county is charleston Arkansas in
77;3a94f05e-6c93-4808-8d72-646795c22b59;what county is Chiefland Florida
78;e759f0bb-55ef-4daf-adcd-d08331af89aa;what county is Chiloquin Oregon
79;c421d85a-ccc4-40dd-8375-51a5bb5f38e7;what county is Cibolo Texas in
80;7f7f8c3b-f947-455a-8f3f-0dfeec48683e;what county is City of Belleair Beach Florida in
81;afc87478-d575-4d3f-b9fd-55216bb0e64d;what county is City of Kewaunee Wisconsin in
82;5b96cb07-46e9-4840-bba6-6e13dc1b8166;what county is Clayton Alabama in
83;58947334-3466-4891-a83d-a46b9842ffc0;what county is Clermont Georgia
84;63a1a37b-fed6-4810-b035-c604efe5daff;what county is clinton Connecticut
85;3133e783-9470-4058-a4dc-4f25ccc617ca;what county is clinton Illinois in
86;080d18cb-b5ad-411c-800f-88a3406f94b0;what county is Clovis California in
87;98e4c04e-f870-4235-a594-f23fa60f2966;what county is coleman Michigan in
88;707288ec-63fd-45b7-a6ca-4d34d7c12fc8;what county is Collierville Tennessee in
89;4c443d80-114f-4977-8084-601d5580a454;what county is Collingswood New Jersey
90;35102edd-c546-472b-9e67-da180cf2eb07;what county is Costa Mesa California in
91;3d3bf5f5-b94c-4c64-a5f6-d769ceaf6dba;what county is Cottekill New York
92;ce2a4785-0444-48f8-9a95-60e42b14d0e5;what county is Covington Tennessee located in
93;02d87ed1-7699-4142-b5aa-48437abdf633;what county is Croton on Hudson New York in
94;0e57161c-555f-4fab-9b94-fdec1fa31983;what county is Dana Point California in
95;e0186df9-a1fa-4adb-8d4a-6f929bd9129f;what county is Deckerville Michigan
96;87a3c693-8bdc-43dd-84be-66ad8d6dac34;what county is Del Lago in
97;fb3c866e-d361-4cee-9c9d-e6a2c54b34f6;what county is Doraville Georgia in
98;3fd39df1-a45d-4745-882f-3b4615e5a948;what county is Douglasville Florida
99;34c2bce7-c16d-4d5c-8cd6-782734ee59a0;what county is downtown Madison
100;3db03bd4-e696-4019-bbcf-621ad061ee67;what county is Dunkirk Indiana in
101;7818d121-2efb-4a73-8366-232b441f36be;what county is Earlham Iowa in
102;e58ed5ae-1737-4b31-abbc-035395ec205c;what county is Ecorse Michigan in
103;f31c22e6-92d9-4062-b82c-fa22c03278b3;what county is Eddyville Nebraska
104;83c43562-4421-4bd0-a7d6-a79e9c1ea20a;what county is Edgewood Washington
105;8ffd3105-12c9-43ae-9a41-67b613a36fee;what county is Elkhart Texas in
106;1fcc0d3d-c673-41dd-a006-f144851bf6a3;what county is Elko Minnesota in
107;0c789aa9-baf2-4637-b6b2-362c06c568e7;what county is Ellisville Mississippi in
108;f66952f8-e2d6-43be-9bf4-c7597689fda9;what county is Elsa Texas in
109;a57587f9-910f-479b-a6dd-c94dab01d1b6;what county is Ely Island in
110;141141cc-6475-4a58-a0da-ff16a471439e;what county is Erie Colorado in
111;b8dccef9-46ee-4f9f-93c4-768b00814b44;what county is Ethridge Tennessee
112;223d6480-d09f-4139-92ac-d7c3ee51dd8e;what county is Etowah Tennessee in
113;3f19efc0-ddef-4a97-9d68-47a393518887;what county is Farmingdale in New York
114;7e6b62f2-6d28-43a0-b66e-c53d26446e6c;what county is Farmington Delaware in
115;3716213d-4f28-43d4-8895-14462676c618;what county is Farmington Minnesota in
116;b8706fe3-f43c-487f-b096-f5403e54f22e;what county is Fleetwood North Carolina in
117;625daaad-cd8a-4881-bae8-7bfb0801c14c;what county is Fleur ave of Des Moines in
118;42248f4e-96b4-483f-abc9-2169da84f73e;what county is Flushing in
119;4f1bf1a3-ad12-4bc3-9923-ceb11a556f20;what county is Forest City Florida
120;747a3a65-393a-434f-a9a5-2f9f8f74eb5f;what county is fountain Colorado in
121;83ba7dc2-11b0-4ca8-91bd-522620da8c8f;what county is Gaithersburg Maryland located in
122;bce4114b-6c5a-4e61-8110-274e29c9dba5;what county is Galva Kansas in
123;bdceaa00-d885-4881-897d-eea927e313fd;what county is Garden Valley California
124;088617e6-9204-4242-8fe2-2de6a8c03fc6;what county is Garfield Washington in
125;477905ed-5434-47ae-807b-1f525815a7fe;what county is Geneva Illinois in
126;0e15e92b-e238-49d0-a28a-e04a2fd26239;what county is Genoa New York in
127;55a73824-0e41-4d58-ae73-b28287fe34a4;what county is Godley Texas in
128;70f4d8c4-7c3a-4123-8cfb-8bdaa274327b;what county is Greenville Texas in
129;644cd862-b786-42cf-8683-893ab3a0e4e0;what county is Grottoes Virginia in
130;59c05278-2157-46e5-9833-fe090c45e2d0;what county is Grover Beach California
131;8609eac0-d076-4a15-bce0-be5dd08a28e0;what county is Hamilton Square New Jersey in
132;49c6c3ac-ab02-4b22-b7a5-37ef136ad59d;what county is Hamlin West Virginia located in
133;7ca4a3ae-ee06-4b32-994e-ccf36fa8c23c;what county is Hazlet New Jersey
134;f5729217-a36b-4b23-88e0-9475ac4d8bdd;what county is Headland Alabama in
135;7708d0b5-6049-4f0e-b7a6-d91c13078922;what county is Hedgesville West Virginia
136;23a07cb9-e912-4452-9389-fbb7b85f3cfb;what county is henderson Texas in
137;f8026080-873b-4206-8672-f934d20b4527;what county is Highland Park California in
138;66bc0ca8-27ec-40b8-a1b0-32e780d371fb;what county is Hixson Tennessee
139;336f8a20-c7dd-4aca-b7fc-4b7545f4fe74;what county is Holland Michigan in
140;9d7962cd-b37f-48d5-9767-8fa3c7045064;what county is Hollister California in
141;89ceea81-4f1a-4a36-b55f-a1ec478ea6dd;what county is Holyrood Kansas
142;eb534770-741a-4e54-8ff7-e1bddee49df0;what county is Homer Michigan in
143;820edb9a-fbb9-4943-9fa6-8a76d575ae96;what county is Howell New Jersey in
144;db59095f-7a39-4f0c-9bec-b14c5f55c073;what county is Huntington Beach Florida in
145;7f8782da-0ba2-4fdf-bc5b-43dab573ecff;what county is huntington California
146;46a145a6-4224-44fe-aabf-e3bc5942330c;what county is Hunts Corners New York in
147;53d464ea-17a3-4443-bd75-5525f369bc41;what county is Hutchinson hospital in in Minnesota
148;fef4e20f-8931-4af7-b67a-8931a1e15630;what county is Idaho Springs in
149;c060687d-3ef2-4346-9874-0205b5f6de4c;what county is in Highlands Ranch
150;b7f9efcc-6584-48ab-9a3f-f686be21cca9;what county is Intercession City
151;108be98a-cf8f-4b21-b775-75a38e6d1f04;what county is Iowa Park Texas
152;b6612f54-8e06-4aef-81dc-cb76725e5ca4;what county is it Neenah
153;80fadd18-d193-409c-a9b4-8987931daabb;what county is Janesville Minnesota in
154;6aaa3d9d-8e32-405b-acf9-fb38057f98f9;what county is Jasper Alabama in
155;58de5244-2a22-4dd7-8cb0-31ef3cc35744;what county is jefferson North Carolina
156;08e4e581-8faa-4938-980a-a739295d0a76;what county is Jeffersonville Georgia in
157;a021c502-42a7-4474-b72c-c72e765d0293;what county is Kalispell Montana in
158;6eb074aa-f80a-4861-aa57-e2744889c6ca;what county is Keller Texas in
159;820d85bd-401c-4af7-b22e-a48c31986b73;what county is Kendall Park New Jersey in
160;c179736d-fdcf-4085-83fa-cb397c5bfae2;what county is Kensington California
161;49f6add0-69dd-4fc7-bbed-6ee99e125c1e;what county is Kingston Idaho
162;e23b1cef-d6f2-450c-bfd6-adf941d09ea9;what county is Kingwood Houston
163;16614c63-d743-43c3-b081-39252d9c6360;what county is Louisiana Sal Utah
164;28793203-b5f2-4dc4-adac-105a465d39de;what county is lake Amistad
165;bfc4ab00-dc7b-4de8-bd3d-f070123ed622;what county is Lake Wales Florida
166;0423e813-8b71-4c82-be99-e77b0021d98a;what county is Lampasas Texas in
167;68a329ce-ef3a-4bce-82a6-7b2cdee8afe9;what county is land o lake Florida
168;dccf16e2-0679-4188-8dcc-8c5ce888e267;what county is Laplace Louisiana in
169;0101ae1c-8f13-4863-9bd9-24d16860bba9;what county is Leawood Kansas in
170;9810a57c-4d74-40d7-8dc4-9e3d82caa6de;what county is Lefors Texas in
171;71f2b610-b8e4-4325-8305-3e84ad5cec2a;what county is lewis Kansas
172;a346b1cf-73dc-434a-87b9-b6033176eac0;what county is Liberty Corner New Jersey in
173;2d0229f1-7c65-488f-8bf8-21732c5ce368;what county is Licking County in
174;f35fd3ad-2c48-4a7b-9616-725393b1b680;what county is Lido Beach New York
175;5086a320-f00e-4768-8257-64ae8679c3b4;what county is Livermore Colorado in
176;a825cb8c-9e0c-4459-8dab-e09f0633fcc6;what county is Logandale nevada
177;55a12a25-b29f-4157-817b-fdbe31f69b76;what county is Lombard Illinois in
178;9acbc98b-5603-4e41-beaa-51ef3afb7709;what county is Longview Texas
179;c728f83a-095e-41c1-bc87-d2c73de58090;what county is Los Lunas
180;7103014f-155c-4134-b8ee-be736e12ef9c;what county is Lumberton North Carolina
181;b89f4ecc-85ce-4f02-bc88-2ee1528b77f6;what county is Lyons Falls New York in
182;648d2e40-aa43-4bfe-867c-899ade0ddff5;what county is Machipongo Virginia in
183;d2f86fad-0b1a-44f9-8643-77fb53a2c87a;what county is Madisonville Kentucky
184;5560ce3a-7fb2-41cd-8c4e-2e0c05daf000;what county is Mahwah New Jersey
185;0feacc54-91d2-4b77-898d-9610cf8395d0;what county is Malone Florida in
186;8e5e84be-c4ce-422d-ad79-356441cf7837;what county is marina California
187;4f17a7f6-4cd0-40f7-9dbf-65922867fe30;what county is Massapequa Park in
188;bb4667b4-4193-4bb2-93d9-fb7b11c5fc2b;what county is Medford Wisconsin
189;e3b9fa32-bcfa-446f-a05e-026024f7b2bf;what county is Metamora Indiana in
190;c51c6319-120c-4637-85aa-eb324ac1e079;what county is Metuchen New Jersey
191;8b30bdd3-c41a-47e8-80e9-ef8f56e5c3fb;what county is Middleton Georgia in
192;1c699af9-93b7-4609-97eb-5e24c1d19b6b;what county is Millfield ohio
193;8c560101-3a66-4f7e-9b09-5ac502f00391;what county is Monticello Arkansas in
194;0b98382f-a9c9-41cb-a60a-3a9b1d8d9c3a;what county is Moorestown New Jersey
195;a3595df6-9b83-4f81-af23-3790d48ed2f8;what county is morris Connecticut in
196;b9f32b23-aca0-4b64-b355-13814a2875eb;what county is Moultonborough New Hampshire
197;0be48f72-0313-4c23-ab1b-6ed231297be8;what county is Mountain House California in
198;22e2446b-b015-4240-a3d3-b9344cebac83;what county is Murfreesboro North Carolina
199;037bdb19-1942-4a5a-b346-f4e707cd29bf;what county is Myrtle Creek or
200;7667f003-4c01-4ab2-bb92-d5d5f12779f4;what county is Nettleton Mississippi
201;583af4e9-bafb-449c-8f6e-039d32c7db0e;what county is New Home Texas in
202;76d679e7-fee7-4912-954b-083047b53783;what county is New London Texas
203;6039a81e-0827-40f0-8c69-1c8ecf2f18a0;what county is Newland North Carolina in
204;bf1e473d-ad65-43fc-b4ad-11835cccf985;what county is Niceville Florida in
205;05aa9ade-1155-4835-89a3-4e34f69d53ee;what county is North Bend Nebraska in
206;7d422693-5e46-475b-98e7-7da439901f5b;what county is North Highlands California in
207;a04bfb56-e99e-47e7-bb10-5066b6cc875a;what county is North Lawrence
208;a575e76d-3dc0-4910-9b41-6abf6ec9165a;what county is Norwich Conn in
209;6029e675-aa37-4aed-b095-1058f1e7f9dd;what county is Oak Hill
210;68b71687-5b09-4004-accd-f83827284de7;what county is ocean New Jersey in
211;5bce3dcb-9f5c-4766-bdd2-d5da03dfb3a9;what county is Oldsmar Florida in
212;eef290ea-fa79-4778-9db2-2fa19bb4110e;what county is Onamia Minnesota in
213;53baf3d5-250d-4ce3-9422-1405dcfaca26;what county is Orange City Iowa in
214;ddd5de42-cc8d-4260-88e4-c873a39cacfd;what county is Orofino Idaho in
215;39cf9a63-5eb7-4dc9-993c-3c5d46ae5034;what county is Otis Colorado in
216;b587438e-e5d7-427f-af54-e74789247e3f;what county is Ottawa Kansas in
217;8e4a123b-3ade-4019-b5d9-f70d921c5dc2;what county is Palisade Minnesota in
218;ba0d1204-1b5b-400d-bbe4-40dedbfcff83;what county is Parkers Lake Kentucky
219;7517e6b4-bf0e-4d26-824d-0ea6c2d69403;what county is Pasquotank North Carolina in
220;a3385b2b-675e-406f-aa93-fee4957f4d60;what county is Paynesville Minnesota in
221;f3497e2e-6207-4dbb-b4f7-068dfd19ca0f;what county is Pea Ridge Arkansas
222;4db98da1-3522-4a6e-94e4-6632a1d6ae68;what county is Perrysville Indiana
223;61011132-2e09-44e6-9ebb-8b934d1f177c;what county is Pharr Texas
224;91ec7f68-a6b4-403c-8e0f-d17d0a372d87;what county is Phelps in
225;9ab2265a-b6a4-48e8-b4a7-e4ef02bb3365;what county is phoenix Maryland in
226;3c8874e3-91ce-4b10-a2cb-aa0ec72fbacc;what county is Pickwick Lake in
227;e14e8927-61b7-44e6-bf60-dd73c3568538;what county is Pikeville in Tennessee
228;8d59cb28-5b44-4b4a-968c-67a6fadafc56;what county is Pittsford
229;b59b347f-f4a2-4a09-b06a-773d5c3a4fda;what county is Plainfield Indiana in
230;48130073-9a6f-4e7b-8450-5efc2bd88c6e;what county is plains Montana in
231;e109b030-3c6e-4a00-ba86-279be5f18da3;what county is Platte City Missouri in
232;9720f7c2-ec46-481c-9cc9-bd8f8e2c0397;what county is Point Reyes in
233;5c47bc29-9eb0-4f1c-a1d2-b2ffea72c83a;what county is point Texas in
234;61139ae3-6ca1-4e97-be55-c3bfc96206b8;what county is Polson Montana in
235;986b938d-62fb-41d5-a0fd-e9d7d0cea389;what county is Poulsbo Washington in
236;94695595-5a26-4fe3-964f-dec3e31cf629;what county is Powdersville South Carolina
237;8feb22a1-3116-45cc-95ea-bf2405b36745;what county is Powdersville South Carolina in
238;7aa1e28f-b2ab-48d7-9ddd-da96a16fd84e;what county is princeton Minnesota in
239;8112cb50-ba76-4e21-b82d-37597fa324b9;what county is Purdon Texas in
240;698bfee1-03d5-4783-931f-b58a8a107db8;what county is Racine West Virginia in
241;75ded216-d083-444b-986f-f5045e2d2949;what county is raleigh North Carolina located in
242;6b78f673-c175-45cb-a16f-8656c9ddda8b;what county is Rangely Colorado in
243;e9a4f838-b58f-4479-a330-0a660dbeefd6;what county is Revere Massachusetts in
244;0ad608fd-4d8b-4742-8ab4-f580472bf1df;what county is Rexburg
245;4806f634-1133-4cdc-a955-9f98a279aa5d;what county is Richland Washington in
246;fef2cc1e-9b4b-4824-a50e-29aa7d23c60e;what county is River Falls Wisconsin in
247;f139107e-3812-4398-817b-b2a1d19183c7;what county is Roanoke Virginia in
248;d41f02b5-f7f8-413d-846a-2560ee036268;what county is Robert Lee Texas in
249;d7347ff3-3f0e-4740-bdca-cec6c495d9ad;what county is Rochester Minnesota in
250;f38e02b6-f8c6-46ab-b47a-d0d871f9140a;what county is Rockford Michigan in
251;cc334c7e-3683-4360-9fa2-cbca1f5cc8f7;what county is Rome City Indiana in
252;bba91f1d-2797-4c99-9725-4e0e72c17396;what county is Romulus in
253;5507b672-99fe-4ee2-80c9-0c18d97d1d18;what county is Ruleville Mississippi
254;942ac6cf-1655-4052-9c99-6a9cc5bd88f4;what county is Ruskin Florida
255;9ffd2fea-3a2a-4f54-ac86-bd5bf816a25c;what county is Rutherford New Jersey in
256;75fe6d4c-8f72-4899-b353-9c5944304a68;what county is Sacramento California in
257;e30403e2-d234-4ba7-bb0c-7e788a8ad27f;what county is Salol Minnesota in
258;cdac4e17-eb14-4173-830d-9eb9bd1f5e10;what county is Salyersville Kentucky in
259;3ce00c9c-6da7-488b-988f-4926994c1a61;what county is san tan Arizona in
260;8b6f84c6-cc05-4716-94d1-59e8aa6d0560;what county is Santa Rosa Texas in
261;d6a00941-bd83-4c3e-bc34-a55f744cdf5b;what county is Santaquin
262;a9d1a382-5389-4729-ab6e-7275039f203e;what county is Sauk Centre in
263;827f8c91-720d-4fe4-ae60-982f3f58bf33;what county is Searsport me in
264;42960e56-72e2-4969-8cc7-64705a6ee48a;what county is Seaside Heights New Jersey
265;8fd144cc-6fe2-49ee-aeca-a5a95a767167;what county is Sebring Florida in
266;8f626c95-1887-409c-864a-69e6e81a2560;what county is Seminole Florida in
267;976d1f92-f41e-4fd2-a47b-6815743929b5;what county is Seneca South Carolina located in
268;aa96c7d2-f4f7-4ae7-826f-859a22e794a5;what county is Sewanee in
269;b48ae406-1df3-46b6-99ef-d97d7d486451;what county is sheffield Illinois in
270;cac470ab-3670-436f-b9eb-5ee1d0c5dd2b;what county is Shelton in
271;59546198-acf8-4b17-8f8e-04da9a9ce164;what county is Shingletown California
272;303c4b16-46a5-40ee-95ce-56f8a5a1912e;what county is Shrewsbury New Jersey
273;1ad8bc91-549d-4e33-b139-56242401e42a;what county is so Rockwood in
274;68e8187d-373d-4a94-958e-ef9515ac142f;what county is Socorro New Mexico
275;860f32d4-3886-43b6-aa2d-53c5e934913f;what county is South Elgin Illinois
276;c503c9e2-8048-4833-b780-ce5192b25774;what county is Spring Hill Florida is in
277;6c3714bb-9c6e-4019-904a-f8b820baf8a0;what county is springfield Arkansas in
278;362d3bd9-e28d-4fdb-bd6d-e8c5e717aeed;what county is Stacy Minnesota
279;4ae35e42-fed8-4bcf-80c1-962f54335b1b;what county is Stamford Texas in
280;69c6a980-39b9-464f-8130-2c459aeb6f23;what county is Stanley Idaho
281;1b59a814-5f0f-49f0-a016-8355e1dfcdee;what county is Stone Ridge New York in
282;32f1af40-793d-407d-adbe-7561e8f53542;what county is Sumner Nebraska
283;76fca5c3-d687-42e9-a2b3-128369d546c8;what county is Tallassee Alabama in
284;f0f26a82-fb46-42c2-9c1d-678bf77e1bfc;what county is Taneytown Maryland in
285;95754534-427d-450c-9181-f09e97e494d2;what county is Tarrytown New York in
286;ea36787d-50f1-4a49-af62-6f7166813afe;what county is Tawas Michigan
287;3e7de3c4-5ed9-47d0-a7fa-d70bfa01db9b;what county is Tekonsha Michigan in
288;08904d90-5cbd-4408-b647-01c7d643ee6b;what county is Temple Hills Maryland
289;1406c23f-d175-4278-a175-6d136b856e3d;what county is the City of Cerritos in
290;32d6f47c-4635-46c6-8137-49acee3412e1;what county is the City of Helena Alabama
291;6e5657a7-1c05-4d7a-ad61-b1b8f6d8760d;what county is the City of Oneida New York in
292;64dde698-f958-4bf4-abc8-afda1ce6ac68;what county is the City of Seminole Florida in
293;1beb127c-9ad0-4e3f-88d8-25fe35610422;what county is the City of Ventura in
294;97a8105f-9a00-44dc-8be0-112c6d32747b;what county is the City of Wolfforth Texas in
295;13f62189-9a8d-48e7-8864-5679d7d97d52;what county is the preston Connecticut in
296;77be9085-417c-482a-a2d5-a7c055c864f3;what county is Ticonderoga New York
297;5e38d875-6d90-4142-81a6-29f177aff43a;what county is Tioga Texas in
298;7fcfe07c-0ade-40e6-9ec7-e824ab2839af;what county is to Tawa New Jersey
299;9c0cabf6-0f08-4332-bbe8-c8e057400df8;what county is Torch Lake Michigan
300;6fc98322-9060-4c0c-8766-b98b2dae27c3;what county is Town of Apex North Carolina
301;e4d25d24-612c-44d6-858b-6ab524f8a41a;what county is Tylertown Mississippi in
302;ae49401e-f46f-44f0-bd2d-cdb433efcdd0;what county is Ulen Minnesota in
303;56a0be88-2658-43ad-9700-22d1464b3581;what county is Universal City in
304;898244e6-2801-416d-9130-805f659c2662;what county is Upper Saddle River New Jersey in
305;17b3ce4a-ba4c-49e2-8a6b-27d8cbf2ef34;what county is Upton Maine in
306;1ba5db0b-a806-47c2-9383-c49ed2e5c7ce;what county is Urbandale Iowa
307;19f9ac0d-24f2-42bb-b00e-fc774ad2bffb;what county is Vinton Virginia in
308;ae3f53fa-d426-471f-919f-0ca93eb7d909;what county is vista California in
309;058b0b61-241f-4c8c-aec1-a15871f98a70;what county is Votaw Texas in
310;49f771f0-fd8b-43cf-a3cc-6782f30915fb;what county is Waconia Minnesota
311;feb4cac8-12f5-470a-a067-f1e4d4e01125;what county is Walcott Wisconsin in
312;25544f15-b19e-46ea-bbbd-3d8cb7c7fd7b;what county is warren Arkansas
313;566c1bc7-6ca6-486f-83df-acde708f0d82;what county is Warrenville Illinois in
314;0b482eec-7aa2-42f5-a139-764938a58dab;what county is Waskom Texas
315;02b50991-adb6-4c1e-9b67-6adcd1856048;what county is Wendelville New York in
316;9c447ad2-bc5b-488e-b031-5624b4751a33;what county is Wetumka in
317;f10334e5-9d53-4088-aeca-2ea3f6b0a996;what county is Wever Iowa in
318;947352bd-78f6-4bf2-914b-f7bba6dc65ac;what county is Whitsett North Carolina in
319;f006a048-6e73-4c72-b390-ec9348ef66c2;what county is Williamston Michigan in
320;32f448a7-9ddd-4c63-bbef-1a9c883e9af4;what county is Windfall Indiana in
321;3909f088-fe42-4086-bacb-84b552bbf0c4;what county is Winthrop Washington in
322;3265f23a-1b9e-4bf4-9440-818050593f76;what county is Woodbridge Virginia in
323;2454bc18-2cc7-4bbd-8dab-f59281e3fdd9;what county is Woodburn Kentucky
324;247d6d28-c07d-4488-bdd1-092693d02230;what county is Woodland Alabama
325;5f8c5ab3-285f-4cea-a75a-b2294d860780;what county is Woodland Michigan in
326;3a044438-b330-4b0f-b8e9-743b425c6ab8;what county is Woodsville New Hampshire
327;e89f15fa-d32b-4317-b8a3-3747d23a290c;what county is Wyoming Iowa in
328;d1c0ab3d-824b-44de-b7f6-75c2b823314f;what county is yale Michigan in
329;67722e90-b76f-41ef-9188-1d78f1973e3f;what county is Yamhill Oregon in
330;c4c8abe6-1afd-4a26-87fc-63dd9700d397;what county is Yorkville New York
331;b8a94d00-c098-488d-9be4-99bc5d89ff51;what county Mount Plymouth Florida in
332;a742ec3b-1963-4eeb-9478-2cb1a4351486;what county roy Washington
333;a23eaa01-492c-438b-a06f-dfad1283bcf5;what county Woodland Washington
