ID;OrgId;Question
168;168;Are there any lakes in Scotland
169;169;Is there a car park near a bridge on river Exe
170;170;Which car park is closest to a bridge on river Exe
171;171;Which counties border county Donegal to the south
172;172;What is the longest river in England and Wales
173;173;Which restaurants in London are near Kensington Palace
174;174;Is there a forest near Manchester
175;175;Which medieval castles are in Scotland
176;176;Which provinces of Ireland have population over 2 million
177;177;What London underground stations are closest to the British Museum
178;178;What is the most populated city in the United Kingdom except London
179;179;Is the monument of the Great Fire of London east of King WIlliam Street
180;180;Is the Tower of London near river Thames
181;181;Which bars are near Prince street in Edinburgh
182;182;What is the most densely populated city in Ireland
183;183;Does Hammersmith Bridge connect Hammersmith with Barnes
184;184;Which hotels are near Loch Ness
185;185;Is there a museum at most 1km from Liverpool
186;186;In which part of England is Liverpool located
187;187;Which city in Scotland has the largest population
188;188;Is Glasgow the largest city of Scotland in terms of population
189;189;What is the distance between Liverpool and Glasgow
190;190;Is Liverpool part of Scotland
191;191;In what county is Stonehenge located
192;192;Which rivers discharge into the Solway Firth
193;193;Which museums are within 3km of Saint George hotel in London
194;194;Is there a forest in county Cheshire
195;195;Which art museums are at most 1km from Charlotte Square in Edinburgh
196;196;How many rivers cross Edinburgh
197;197;How many counties does the river Thames cross
198;198;Which rivers cross county Cheshire
199;199;Which county is east of county Dorset
200;200;Is there a river that crosses county Greater Manchester
