intent,relation,object,distance,qid
level,of,geographical,2,308
volumes,on,low-class roads,0,309
volumes,on,roads,1,309
volumes,on,low-class,2,309
trends,of,school and housing segregation,0,314
trends,of,segregation,1,314
trends,of,housing,2,314
trends,of,school,4,314
difference,between,the racial composition,0,316
difference,between,composition,1,316
difference,between,racial,2,316
pattern,of,heterogeneous ecological conditions,0,324
pattern,of,conditions,1,324
pattern,of,ecological,2,324
pattern,of,heterogeneous,3,324
effects,on,rural landscapes,0,326
effects,on,landscapes,1,326
effects,on,rural,2,326
accessibility,of,sexual and reproductive health (SRH) services,0,329
accessibility,of,services,1,329
accessibility,of,(SRH),2,329
accessibility,of,health,3,329
accessibility,of,reproductive,4,329
accessibility,of,sexual,6,329
distribution,of,residences,0,330
distribution,of,residences,1,330
changes,of,landuse categories distribution,0,335
changes,of,distribution,1,335
changes,of,categories,2,335
changes,of,landuse,3,335
changes,in,transport networks,0,336
changes,in,networks,1,336
changes,in,transport,2,336
changes,in,visibility,0,337
changes,in,visibility,1,337
distribution,of,nonprofit organizations serving immigrants,0,338
distribution,of,immigrants,1,338
distribution,of,serving,2,338
distribution,of,organizations,3,338
distribution,of,nonprofit,4,338
pattern,in,the Greater Boston area,0,340
pattern,in,area,1,340
pattern,in,Boston,2,340
pattern,in,Greater,3,340
relationships,between,population and urban growth,0,341
relationships,between,growth,1,341
relationships,between,urban,2,341
relationships,between,population,4,341
relationships,between,population and urban growth,0,342
relationships,between,growth,1,342
relationships,between,urban,2,342
relationships,between,population,4,342
pattern,of,urban growth,0,343
pattern,of,growth,1,343
pattern,of,urban,2,343
behavior,of,individuals,0,351
behavior,of,individuals,1,351
behavior,of,households,0,352
behavior,of,households,1,352
relationship,between,activity density and land uses,0,354
relationship,between,uses,1,354
relationship,between,land,2,354
relationship,between,density,4,354
relationship,between,activity,5,354
patterns,of,different employment groups,0,355
patterns,of,groups,1,355
patterns,of,employment,2,355
patterns,of,different,3,355
differences,of,activity pattern,0,356
differences,of,pattern,1,356
differences,of,activity,2,356
effect,of,scale,0,357
effect,of,scale,1,357
autocorrelation,of,urban land prices,0,360
autocorrelation,of,prices,1,360
autocorrelation,of,land,2,360
autocorrelation,of,urban,3,360
distribution,of,urban land prices,0,361
distribution,of,prices,1,361
distribution,of,land,2,361
distribution,of,urban,3,361
factors,to,urban land price,0,362
factors,to,price,1,362
factors,to,land,2,362
factors,to,urban,3,362
patterns,of,clustering,0,363
patterns,of,clustering,1,363
relationships,between,the level,0,364
relationships,between,level,1,364
differences,of,spatial patterns,0,367
differences,of,patterns,1,367
differences,of,spatial,2,367
characteristics,of,land use change,0,368
characteristics,of,change,1,368
characteristics,of,use,2,368
characteristics,of,land,3,368
methods,for,population modeling,0,377
methods,for,modeling,1,377
methods,for,population,2,377
factors,for,population change,0,379
factors,for,change,1,379
factors,for,population,2,379
characteristics,of,population distribution,0,380
characteristics,of,distribution,1,380
characteristics,of,population,2,380
pattern,of,various industries,0,382
pattern,of,industries,1,382
pattern,of,various,2,382
relationships,of,establishments,0,383
relationships,of,establishments,1,383
changes,in,spatial characteristics,0,386
changes,in,characteristics,1,386
changes,in,spatial,2,386
trends,of,students,0,387
trends,of,students,1,387
distribution,in,Leeds,0,388
distribution,in,Leeds,1,388
changes,in,the built-up area,0,389
changes,in,area,1,389
changes,in,built-up,2,389
variations,of,hotspots,0,392
variations,of,hotspots,1,392
impacts,of,different social-economic factors,0,393
impacts,of,factors,1,393
impacts,of,social-economic,2,393
impacts,of,different,3,393
pattern,of,rural-urban land use,0,394
pattern,of,use,1,394
pattern,of,land,2,394
pattern,of,rural-urban,3,394
patterns,in,the cultural industries,0,395
patterns,in,industries,1,395
patterns,in,cultural,2,395
potential,in,the area Islamabad Zone IV,0,397
potential,in,IV,1,397
potential,in,Zone,2,397
potential,in,Islamabad,3,397
potential,in,area,4,397
interactions,between,population growth and changes,0,399
interactions,between,changes,1,399
interactions,between,growth,3,399
interactions,between,population,4,399
changes,in,Original-stream Zone,0,400
changes,in,Zone,1,400
changes,in,Original-stream,2,400
distribution,of,cervix cancer mortality rates,0,403
distribution,of,rates,1,403
distribution,of,mortality,2,403
distribution,of,cancer,3,403
distribution,of,cervix,4,403
map,of,all districts,0,404
map,of,districts,1,404
map,of,all,2,404
effects,of,"the built environment (e.g. physical environment, land use patterns, the road network, and bicycle-specific facilities)",0,407
effects,of,facilities),1,407
effects,of,bicycle-specific,2,407
effects,of,"network,",4,407
effects,of,road,5,407
effects,of,"patterns,",7,407
effects,of,use,8,407
effects,of,land,9,407
effects,of,"environment,",10,407
effects,of,physical,11,407
effects,of,(e.g.,12,407
effects,of,environment,13,407
effects,of,built,14,407
association,between,urban neighborhood socioeconomic markers and ambient air pollution,0,408
association,between,pollution,1,408
association,between,air,2,408
association,between,ambient,3,408
association,between,markers,5,408
association,between,socioeconomic,6,408
association,between,neighborhood,7,408
association,between,urban,8,408
impact,of,racial residential segregation,0,410
impact,of,segregation,1,410
impact,of,residential,2,410
impact,of,racial,3,410
impact,of,racial residential segregation,0,411
impact,of,segregation,1,411
impact,of,residential,2,411
impact,of,racial,3,411
exposure,for,maternal,0,412
exposure,for,maternal,1,412
types,within,1km,0,417
types,within,1km,1,417
accessibility,of,residential units,0,421
accessibility,of,units,1,421
accessibility,of,residential,2,421
aspect,of,the new ski piste,0,430
aspect,of,piste,1,430
aspect,of,ski,2,430
aspect,of,new,3,430
trends,in,animal grazing based,0,431
trends,in,based,1,431
trends,in,grazing,2,431
trends,in,animal,3,431
rates,in,each police district,0,432
rates,in,district,1,432
rates,in,police,2,432
rates,in,each,3,432
density,of,crape myrtles,0,433
density,of,myrtles,1,433
density,of,crape,2,433
impact,of,high population density,0,434
impact,of,density,1,434
impact,of,population,2,434
impact,of,high,3,434
dynamics,of,carbon sinks,0,435
dynamics,of,sinks,1,435
dynamics,of,carbon,2,435
accessibility,for,seniors,0,436
accessibility,for,seniors,1,436
access,to,private hospitals,0,437
access,to,hospitals,1,437
access,to,private,2,437
access,to,public hospitals,0,438
access,to,hospitals,1,438
access,to,public,2,438
access,to,public hospitals,0,439
access,to,hospitals,1,439
access,to,public,2,439
accessibility,to,public trams,0,440
accessibility,to,trams,1,440
accessibility,to,public,2,440
accessibility,to,public trains,0,441
accessibility,to,trains,1,441
accessibility,to,public,2,441
impact,of,population density,0,442
impact,of,density,1,442
impact,of,population,2,442
changes,in,the climate,0,443
changes,in,climate,1,443
changes,in,the land use,0,444
changes,in,use,1,444
changes,in,land,2,444
changes,in,the land cover types,0,445
changes,in,types,1,445
changes,in,cover,2,445
changes,in,land,3,445
calculated,with,the Minkowski metric,0,446
calculated,with,metric,1,446
calculated,with,Minkowski,2,446
effect,of,household characteristics,0,447
effect,of,characteristics,1,447
effect,of,household,2,447
effect,of,neighborhood characteristics,0,448
effect,of,characteristics,1,448
effect,of,neighborhood,2,448
effect,of,neighborhood characteristics,0,449
effect,of,characteristics,1,449
effect,of,neighborhood,2,449
changes,in,water resources,0,450
changes,in,resources,1,450
changes,in,water,2,450
interactions,between,population growth and changes,0,451
interactions,between,changes,1,451
interactions,between,growth,3,451
interactions,between,population,4,451
patterns,in,the cultural industries,0,452
patterns,in,industries,1,452
patterns,in,cultural,2,452
areas,with,high concentration,0,453
areas,with,concentration,1,453
areas,with,high,2,453
distribution,of,health service units,0,454
distribution,of,units,1,454
distribution,of,service,2,454
distribution,of,health,3,454
distribution,of,towns,0,455
distribution,of,towns,1,455
distribution,of,residences,0,456
distribution,of,residences,1,456
distribution,of,health service units,0,457
distribution,of,units,1,457
distribution,of,service,2,457
distribution,of,health,3,457
distribution,of,towns,0,458
distribution,of,towns,1,458
portion,of,owner-occupied houses,0,459
portion,of,houses,1,459
portion,of,owner-occupied,2,459
portion,of,vacant houses,0,460
portion,of,houses,1,460
portion,of,vacant,2,460
accessibility,for,seniors,0,461
accessibility,for,seniors,1,461
association,between,urban neighborhood socioeconomic markers and ambient air pollution,0,462
association,between,pollution,1,462
association,between,air,2,462
association,between,ambient,3,462
association,between,markers,5,462
association,between,socioeconomic,6,462
association,between,neighborhood,7,462
association,between,urban,8,462
effect,of,the distribution,0,463
effect,of,distribution,1,463
effect,of,the distribution,0,464
effect,of,distribution,1,464
accessibility,to,family physician services,0,465
accessibility,to,services,1,465
accessibility,to,physician,2,465
accessibility,to,family,3,465
zones,of,strict drug enforcement,0,466
zones,of,enforcement,1,466
zones,of,drug,2,466
zones,of,strict,3,466
zones,of,strict drug enforcement,0,467
zones,of,enforcement,1,467
zones,of,drug,2,467
zones,of,strict,3,467
consequences,of,forestry,0,468
consequences,of,forestry,1,468
