intent,qid
district,10128
airport,10150
place,10154
airport,10187
city,10234
island,10235
county,10243
city,10263
code,10264
parade,10269
name,10287
county,10306
code,10317
name,10322
name,10404
map,10440
zone,10512
capital,10523
address,10618
zone,10627
Base,10698
center,10701
nation,10716
built,10727
name,10801
located,10820
Island,10873
code,10875
airport,10881
capital,10882
building,10893
airport,10933
capital,10946
airport,10980
address,11043
Stadium,11047
island,11056
address,11097
boundary,11166
province,11182
Eurostar,11183
airport,11186
county,11191
county,11218
airport,11222
building,11234
county,11315
area,11321
mall,11332
county,11336
name,11347
capital,11363
county,11370
place,11402
hall,11411
restaurant,11436
point,11437
building,11444
name,11467
airport,11504
name,11521
county,11555
city,11587
county,11648
abbreviation,11654
airport,11712
state,11736
capital,11745
time,11753
airport,11773
distance,11805
county,11815
problem,11873
material,11874
city,11876
building,11878
State,11896
name,11902
county,11913
point,11949
airport,11980
airport,11987
airport,12013
city,12052
airport,12090
point,12152
city,12166
city,12184
state,12241
is,12321
city,12322
seat,12409
church,12418
longitude,12428
tonight,12488
point,12491
nickname,12498
state,12518
name,12535
airport,12545
building,12584
climate,12602
route,12628
address,12650
county,12689
city,12708
location,12738
airport,12773
area,12781
name,12831
airport,12839
size,12842
name,12866
location,12873
airport,12883
region,12919
called,12936
name,12955
city,12994
county,13008
country,13022
closest,13046
county,13064
name,13106
province,13114
region,13126
building,13133
county,13136
miles,13154
state,13167
zone,13168
code,13187
zone,13207
zone,13217
name,13239
longitude,13268
county,13273
Point,13306
location,13308
City,13310
cathedral,13311
county,13313
abbreviation,13366
city,13398
province,13433
airport,13473
county,13519
location,13554
state,13556
month,13588
name,13589
town,13619
airport,13624
capital,13649
capital,13652
code,13682
monorail,13694
location,13700
province,13727
port,13752
region,13824
area,13830
level,13851
station,13852
airport,13853
zone,13861
code,13862
yesterday,13865
zone,13892
county,13926
island,13951
ariports,13963
country,13970
county,14011
name,14012
code,14027
trip,14056
address,14122
attraction,14133
county,14173
place,14179
Building,14192
beach,14215
abbreviation,14223
name,14254
prison,14262
name,14325
city,14349
Outpost,14354
city,14363
county,14385
location,14388
city,14418
birthplace,14452
Airport,14458
county,14473
airport,14474
abbreviation,14484
county,14518
capital,14525
county,14543
bay,14571
municipality,14599
ceiling,14602
town,14628
flag,14630
point,14650
airport,14672
building,14677
airport,14680
county,14711
weather,14757
name,14789
hotel,14829
point,14854
hemisphere,14866
name,14883
tax,14899
name,14951
longitude,14967
township,14971
airport,14986
Plantation,15025
airport,15036
airport,15064
capital,15082
city,15086
county,15092
area,15151
code,15182
county,15216
name,15235
Grade,15245
city,15246
neighborhood,15253
humidity,15287
airport,15295
name,15298
airport,15395
county,15407
county,15418
name,15450
low,15460
city,15473
point,15526
location,15534
address,15547
parish,15559
Base,15564
country,15586
name,15606
building,15609
level,15626
established,15640
county,15641
county,15699
name,15750
airport,15757
airport,15766
county,15783
name,15794
building,15854
province,15859
name,15876
admitted,15917
county,15957
area,15964
city,15974
City,15979
city,15994
location,15996
airport,16031
county,16085
called,16090
name,16093
airport,16110
county,16112
county,16133
abbreviation,16137
town,16140
capital,16154
area,16156
name,16196
area,16204
airport,16231
county,16238
county,16254
hotel,16293
state,16304
county,16400
capital,16401
location,16424
attraction,16429
state,16440
location,16481
hotel,16506
place,16508
airport,16517
name,16519
Times,16551
code,16556
Point,16557
name,16569
month,16572
airport,16582
region,16605
seat,16639
point,16712
name,16722
abbreviation,16736
island,16769
point,16848
location,16965
building,16968
founded,16980
hotel,16983
continent,17023
airport,17038
name,17042
airport,17073
seat,17078
county,17088
name,17093
zone,17101
beach,17173
airport,17210
county,17232
time,17233
name,17272
location,17276
name,17298
name,17305
slogan,17337
Incline,17410
city,17446
longitude,17461
habitat,17469
point,17472
city,17517
county,17557
hazards,17559
county,17577
Acreage,17599
House,17611
census,17700
airport,17716
Street,17725
Boardwalk,17748
airport,17816
capital,17825
zip,17826
population,17874
county,17876
station,17882
point,17903
airport,17922
capital,17933
airport,17941
location,17948
town,17959
province,17982
area,18008
basin,18065
airport,18070
station,18071
longitude,18074
called,18084
county,18138
city,18188
airport,18218
point,18226
city,18235
town,18265
beach,18303
city,18320
road,18374
parish,18407
city,18441
airport,18464
city,18484
bowl,18502
capital,18523
county,18586
name,18640
address,18651
county,18664
county,18719
state,18747
name,18756
Station,18813
location,18835
county,18839
airport,18842
name,18862
location,18863
county,18890
area,18892
name,18956
place,18960
bridge,18986
Airport,19020
providence,19079
Town,19223
name,19263
abbreviation,19269
name,19272
place,19304
Town,19312
configuration,19313
there,19323
code,19368
Airport,19374
location,19447
state,19448
city,19496
city,19505
district,19518
called,19535
municipality,19547
abbreviation,19553
resort,19564
county,19578
region,19616
Centre,19658
airport,19683
point,19684
place,19724
county,19729
name,19743
city,19746
area,19751
capital,19804
city,19817
name,19852
name,19878
capital,19913
airport,19948
city,19955
state,19991
region,20001
town,20054
airport,20064
county,20073
name,20092
capital,20108
month,20153
beach,20193
location,20194
called,20253
county,20261
airport,20267
state,20295
bridge,20333
airport,20340
county,20351
city,20456
county,20470
name,20496
seat,20499
city,20517
county,20560
Airport,20617
latitude,20644
District,20648
name,20651
code,20657
humidity,20666
is,20668
name,20679
house,20744
county,20753
point,20770
airport,20810
point,20821
casino,20889
area,20903
form,20920
form,20964
region,21021
county,21100
county,21129
zone,21137
airport,21165
code,21168
county,21203
capital,21209
significance,21234
located,21267
landmass,21278
airport,21309
state,21341
county,21424
address,21447
airport,21460
month,21476
county,21500
address,21519
county,21544
airport,21585
city,21591
place,21602
building,21631
continent,21633
location,21644
withholding,21693
town,21761
state,21797
airport,21827
county,21831
county,21833
county,21924
commonwealth,22257
code,22397
called,22399
town,22423
capital,22427
name,22449
county,22475
county,22547
county,22567
territory,22608
state,22629
Island,22639
province,22672
capital,22694
location,22707
region,22870
Club,23096
name,23161
county,23172
state,23174
point,23206
airport,23226
city,23288
location,23311
capital,23316
airport,23335
seat,23379
state,23387
borough,23389
airport,23397
terrirtory,23443
island,23453
continent,23471
region,23501
Landmarks,23540
cemetery,23577
name,23601
region,23625
airport,23638
City,23815
countrys,24114
code,24522
