relation,extent,qid
in,Okinawa Japan,7950
in,Scottsdale Arizona,7951
of,Canada,7956
in,San Diego,7959
to,the north atlantic sea and Northwestern Europe,7972
in,Tennessee,8032
of,istanbul Turkey,8411
of,Greece,8452
to,Australia,8575
around,Brazil,8655
in,Mexico,8694
in,mohenjo Daro,8741
on,Manhattan Island,8767
in,Africa,8772
to,join Canada,8773
of,Mississippi,8848
in,Galax Virginia,8858
at,Brookfield Zoo,8863
of,Oregon,8910
in,Hawaii,9036
in,United States,9049
in,Oklahoma,9060
of,Austria,9143
of,Sterling Virginia,9159
in,Italy,9166
in,the Middle East,9171
in,Florida,9184
in,Anchorage,9205
for,newton Kansas,9242
of,Canada,9255
in,Wisconsin,9312
of,south Korea,9320
to,burlington Washington,9327
of,Scotland,9364
in,Atlanta,9371
in,Mound City Missouri,9406
at,Bronx Zoo,9429
for,Louisiana crosse county Wisconsin,9450
of,the Netherlands,9497
in,Bhutan,9508
of,Miami County in,9515
in,Spokane Washington,9585
around,Hervey Bay,9589
to,Sunridge,9594
for,Milldale Connecticut,9609
of,Africa,9643
in,Australia,9764
for,Eufaula Alabama,9816
for,McMinnville Tennessee,9935
in,Central Asia,10114
of,Gurgaon,10128
to,Williamstown Kentucky,10150
in,in the United States Flagstaff Arizona,10154
to,a nikompattana Thailand,10187
of,Shikoku,10234
of,Africa,10235
of,Northridge Florida,10243
of,Greece,10263
for,Sturgis Michigan,10264
in,the United States,10269
at,Patagonia,10287
for,Maxton North Carolina,10306
for,Rockford Illinois,10317
in,Whitney Point New York,10322
to,The Observatory,10404
of,underwater city near Ireland,10440
in,Kilauea Hawaii,10512
of,Guinea,10523
of,California,10618
for,wichita Kansas,10627
in,the United States,10698
in,Las Vegas,10701
to,join the United Nations,10716
in,Las Vegas Strip,10727
in,San Francisco,10801
in,Moscow,10820
of,Lindisfarne,10873
for,Panama City Panama,10875
to,savannah Georgia,10881
of,Burma,10882
in,Arizona,10893
to,chester New Hampshire,10933
of,Germany,10946
to,Abilene Texas,10980
for,Illinois,11043
in,the United States,11047
in,The California,11056
in,Long Island City,11097
of,Los Angeles,11166
in,Australia,11182
in,paris France,11183
in,kauai Hawaii,11186
of,Hollister,11191
in,Alaska,11218
to,Marco Island Florida,11222
in,Virginia,11234
of,Rantoul Illinois,11315
in,Dublin Ireland,11321
in,Florida,11332
for,Richland New Jersey,11336
of,qatar International Airport,11347
of,Utah,11363
for,Uvalde Texas,11370
in,in the United States,11402
in,Texas,11411
in,New Orleans,11436
in,Albania,11437
in,New York,11444
in,charlotte North Carolina,11467
to,Prineville Oregon,11504
of,Archipelago,11521
of,Wellesley Island New York,11555
of,Colombia,11587
for,Riverdale New York,11648
for,Santa Rosa California,11654
to,mount Mora Missouri,11712
in,United States,11736
of,the United States,11745
in,Cayman Islands,11753
to,Rapid City South Dakota,11773
from,Kolkata,11805
of,Atlanta Texas,11815
at,Myrtle Beach,11873
of,Magma,11874
of,Palau,11876
in,Manhattan,11878
of,Ireland established,11896
to,Cuba,11902
for,Chattanooga Tennessee,11913
in,Kentucky,11949
to,csg Georgia,11980
to,Hemet California,11987
to,Richmond Virginia,12013
in,nevada,12052
to,Vero Beach Florida,12090
in,Wilmington North Carolina,12152
of,the United States,12166
to,vancouver Canada,12184
from,The Union,12241
in,troy Michigan,12321
in,Broward County Florida,12322
of,Huron County Michigan,12409
in,New York,12418
of,Georgia,12428
at,BC Place Stadium,12488
of,Australia,12491
of,Georgia,12498
in,India,12518
at,the South Pole,12535
in,Puglia,12545
on,Fort Leonard Wood Missouri,12584
in,the Himalayas,12602
to,the Pacific Ocean,12628
of,The Rose bowl parade Starting Point,12650
for,Manhattan New York,12689
On,An Island,12708
of,the japanese Beetle,12738
in,Toronto Canada,12773
of,Ghana,12781
of,Hawaii,12831
to,nrg stadium Houston,12839
of,Alaska,12842
of,the island where Samos is on,12866
of,fort Sumter,12873
to,Westgate Texas,12883
in,Bitburg,12936
in,downtown Atlanta,12955
to,Mountain Pine,12994
of,bend Oregon,13008
in,Africa,13022
to,los Angeles,13046
for,Sarasota Florida,13064
of,Hawaii  s Big Island,13106
of,Darien Illinois,13114
of,Ilocos,13126
in,Cortona Italy,13133
for,Tecumseh Nebraska,13136
of,Katy Texas,13154
for,Nuevo Laredo,13167
of,New York City,13168
for,search San Bernardino,13187
for,Okinawa Japan,13217
of,the restaurant near Cocos,13239
of,Guantanamo Cuba,13268
for,Monee Illinois,13273
of,the us,13306
of,the Nile River,13308
of,Milwaukee,13310
in,Scotland,13311
of,Lincoln Montana,13313
for,nevada,13366
of,interconnected Huts,13398
of,Texas,13433
to,Cooperstown New York,13473
for,Sparta Tennessee,13519
of,Inca,13554
in,jackson Georgia,13556
of,Mexico,13588
in,Florida that is old,13589
in,Oregon,13619
to,Siesta Key Florida,13624
of,Midway Islands,13649
of,Holland,13652
for,Spokane,13682
in,Las Vegas,13694
of,Mexico,13700
in,the United States,13752
of,Denver Colorado,13824
in,Alaska,13830
in,Ventura,13851
in,Edinburgh,13852
of,Miami,13853
between,Kansas   Alaska,13861
for,Cabos San Lucas,13862
in,New York City,13865
for,Snoqualmie Washington,13892
for,central South Carolina,13926
in,the United States,13951
to,Myrtle Beach South Carolina,13963
in,Italy,13970
of,Greenville South Carolina,14011
in,phoenix Arizona,14012
for,San Bernardino International Airport,14027
in,Kansas City,14056
of,macys Herald Square New York New York,14122
in,Monticello Mississippi,14133
for,Cortlandt Manor New York,14173
in,Arkansas,14179
in,Chicago,14192
to,Indiana,14215
for,Canada,14223
of,Africa,14254
on,Robben Island,14262
in,central India,14325
in,Africa,14349
in,new Netherlands,14354
in,the United States,14363
for,moore Idaho,14385
of,Manassas,14388
to,Sakurajima,14418
of,Haiti,14452
in,Madagascar,14458
for,Pensacola Florida,14473
to,Sequoia National Park,14474
for,Mount Washington,14484
for,city Milliken Michigan,14518
of,Peru,14525
for,Pendleton,14543
in,the United States,14571
of,Mpumalanga,14599
of,the Byron Airport,14602
in,Minnesota,14628
of,Alaska,14630
on,nevada,14650
to,Rapid City South Dakota,14672
of,San Francisco,14677
in,Bayonne New Jersey,14680
in,Roseville Michigan,14711
in,Belize City Belize,14757
in,Florence Italy,14789
in,Las Vegas,14829
in,Oceania,14854
of,Dominican Republic,14866
of,the island called Borinquen,14883
for,Texas,14899
on,Hawaii The Big Island,14951
of,Berlin Germany,14967
of,Indianapolis,14971
to,Spearfish South Dakota,14986
in,Mississippi,15025
to,Niagara Falls,15036
to,Hudson Florida,15064
of,Panama,15082
in,Florida,15086
for,Bringhurst Indiana,15092
of,Cotopaxi,15151
for,Long Beach Airport,15182
in,Louisiana,15216
of,the famous fault boundary that passes through California,15235
of,Miami Park Elem,15245
in,Europe,15246
in,Chicago Illinois,15253
in,Seal Beach California,15287
to,Pasadena,15295
on,maui Hawaii,15298
to,Plainfield Indiana,15395
for,Las Vegas nevada,15407
for,jay Florida,15418
in,newark New Jersey,15450
for,Baton Rouge Louisiana,15460
in,Chihuahua,15473
in,Chile,15526
in,New York,15534
of,the United States,15547
of,Winnsboro Louisiana,15559
in,the us,15564
to,shanghai,15586
of,Austin Texas Airport,15606
in,New York City,15609
for,Washington state Puyallup Washington,15626
in,Africa,15640
of,Kingston New York,15641
for,Medford Massachusetts,15699
in,Branson,15750
to,Etowah Tennessee,15757
to,Canton New York,15766
of,Lambertville Michigan,15783
of,Sahara,15794
in,Arizona,15854
for,Tarnow Poland,15859
in,Comanche County Okla,15876
to,The Union,15917
for,Jacksonville Beach Florida,15957
of,Disneyland,15964
in,south Texas,15974
of,Amsterdam is located,15979
in,Crimea,15994
for,Spica,15996
to,Sedona Arizona,16031
for,Ferndale Florida,16085
in,Axum,16090
of,the time zone Jakarta is in,16093
to,Johnson City Tennessee,16110
of,Oak Grove Kentucky,16112
for,Tolleson Arizona,16133
for,Braz,16137
of,Rohan,16140
of,Greece,16154
of,Canada,16156
in,Italy,16196
of,Thunder Bay,16204
to,Fort Sill ok,16231
of,Upland California,16238
for,Summerton South Carolina,16254
in,Las Vegas,16293
of,Jacksonville,16304
in,nevada,16400
of,Samoa,16401
of,Bengal,16424
in,Washington,16429
in,Mexico,16440
of,Brazil,16481
to,the Dublin Airport,16506
in,Canada,16508
to,Pigeon Forge,16517
in,frankfurt Germany,16519
in,Gloucester City New Jersey 08030,16551
for,Brisbane Australia,16556
between,Kansas City Missouri and jackson Mississippi,16557
in,Houston,16569
in,Honduras,16572
in,Vietnam,16582
of,Lake Baikal,16605
of,Granite County Montana,16639
in,Texas,16712
in,the french Riviera,16722
for,Saskatoon,16736
in,Canada,16769
in,Connecticut,16848
of,Ukraine,16965
in,Rennes,16968
in,the United States,16980
in,Ocho Rios Jamaica,16983
of,London,17023
to,Wanchese North Carolina,17038
in,the Arabian Sea,17042
to,Columbia Missouri,17073
of,Flathead County Montana,17078
for,fairfield California,17088
in,Ohio City,17093
for,Hartland Vermont,17101
in,Carlsbad California,17173
to,Woodburn or,17210
of,Eastman Wisconsin,17232
in,Mexico City,17233
in,California,17272
of,the Lenape,17276
in,Switzerland,17298
in,venice Italy,17305
for,nevada,17337
at,Rock City,17410
from,Fontana California,17446
of,Raynham Massachusetts,17461
in,the Pacific Ocean,17469
of,Breckenridge,17472
in,Michigan,17517
of,anaheim California,17557
in,Guilford County,17559
in,the United States,17577
in,the us,17599
in,Manhattan Kansas,17611
for,Collin County,17700
to,Santa Rosa Beach Florida,17716
in,Nashville Tennessee,17725
in,Pacific Beach,17748
to,Sorrento Italy,17816
of,Netherlands,17825
for,South Sioux City Nebraska,17826
in,Colorado,17874
for,Indio California,17876
to,Sofitel Brisbane,17882
in,South Wales,17903
to,Southington Connecticut,17922
of,Andros,17933
to,park city Kentucky,17941
of,Chile,17948
in,the South Pacific,17959
for,California,17982
in,Tasmania,18008
of,the Gulf Stream current,18065
to,Odessa,18070
to,Leeds Castle,18071
of,Seoul south Korea,18074
for,Haiti,18084
for,Waxahachie,18138
in,the United States,18188
to,Amalfi Italy,18218
in,New Hampshire,18226
in,Kazakhstan,18235
of,Salinas California,18265
to,città Della Pieve,18303
of,Mahwah New Jersey,18320
in,the United States,18374
of,Morgan City,18407
in,Texas,18441
to,Banff,18464
in,Iowa,18484
in,Las Vegas,18502
of,Ecuador,18523
for,Irving Texas,18586
in,st cloud Minnesota,18640
in,1996,18651
of,Beaufort South Carolina,18664
for,Hopkinton Rhode Island,18719
to,have a Golf Course,18747
in,Hawaii,18756
to,Pittsburgh International Airport,18813
of,DeVry University,18835
for,Lubbock Texas,18839
in,Detroit Michigan,18842
in,pass a grill Florida,18862
of,ancient Egypt,18863
of,donna Texas,18890
in,Barcelona,18892
of,Kelleys Island,18956
to,my location 248 benziger ave Staten Island New York,18960
of,California,18986
in,Portland Maine,19020
of,Raipur India,19079
of,Bristol Rhode Island named after,19223
of,Hyderabad,19263
for,Cincinnati,19269
in,Cincinnati,19272
in,The Universe,19304
of,Ashland,19312
of,Radon,19313
to,do downtown Las Vegas,19323
for,Toronto International Airport,19368
in,Fiji,19374
of,cliff Rocamadour,19447
in,Mexicali,19496
of,ancient Egypt,19505
in,Massachusetts,19518
on,the East Coast,19535
in,Canada,19547
for,Mississippi,19553
in,Mexico,19564
of,Warsaw Virginia,19578
in,Ghana,19616
in,Copenhagen,19658
in,Hyderabad,19683
in,Mexico,19684
in,Hawaii,19724
of,Hendersonville Tennessee,19729
at,Horseshoe Falls,19743
in,United States,19746
in,northern California,19751
of,Washington,19804
in,Virginia,19817
of,the sea that surrounds Egypt,19852
of,the Ozark Plateau state Brid,19878
of,Aruba Island,19913
to,greensboro North Carolina,19948
of,Mozambique,19955
in,the United States,19991
of,Imperial California,20001
in,Vermont,20054
in,Seychelles,20064
for,Kermit Texas,20073
in,Europe,20092
of,Belize,20108
in,Palm Beach Florida,20153
to,Orlando,20193
in,Billings Montana,20194
in,Batangas,20253
between,clinton and Farmer City,20261
in,Nerja,20267
in,the United States,20295
in,Texas,20333
to,Kilgore Texas,20340
for,Columbia Tennessee,20351
to,Retire in,20456
in,Georgia,20470
of,the time zone is Germany,20496
for,Folkston Georgia,20499
of,Canada,20517
for,Rochester New Hampshire,20560
in,Bangkok,20617
of,Memphis Tennessee,20644
of,Columbia,20648
in,East Hartford Connecticut,20651
for,Clermont County Airport,20657
In,Lake havasu city Arizona,20666
between,belguim and Netherlands,20668
in,Arecibo,20679
in,Central Park,20744
of,Mahomet Illinois,20753
in,Netherlands,20770
in,Las Vegas,20810
in,Scotland,20821
in,Las Vegas,20889
of,Venezuela,20903
of,country name India,20920
for,Aristotle,20964
of,Costa Rica,21021
for,Woodbury,21100
for,Woodland California,21129
between,India and the United States,21137
to,Natchez Mississippi,21165
for,Brownsville,21168
for,Coralville Iowa,21203
of,Kenya,21209
of,Capricorn,21234
in,the Atlantic Ocean,21267
to,Australia,21278
to,Whitefish Montana,21309
in,the United States,21341
for,Terlingua Texas,21424
in,Ashland Kentucky,21447
in,Nantucket,21460
in,Mexico City,21476
for,Ontario California,21500
in,Jacksonville Florida,21519
of,Effingham Illinois,21544
to,Reston Virginia,21585
in,Texas,21591
in,the Philippines,21602
in,Spofford,21631
of,Jamaica,21633
of,Mexico,21644
for,Georgia,21693
in,Arizona,21761
in,Germany,21797
in,Hawaii Honolulu,21827
for,Woodlawn Tennessee,21831
for,Washington Texas,21833
for,Louisiana Puente California,21924
of,Northern Mariana Islands,22257
for,Cancun International Airport,22397
in,Brazil,22399
in,the United States,22423
of,Corsica,22427
on,The Big Island,22449
for,New Albany,22475
for,Manhasset New York,22547
for,Blanco Texas,22567
to,join Canada,22608
in,the United States,22629
in,Hawaii,22639
for,Mexico City,22672
of,Bolivia,22694
of,Nunavut,22707
in,Visayas,22870
In,Hawaii,23096
in,Fargo North Dakota,23161
of,Tampa Florida,23172
in,Mexico,23174
in,France,23206
to,Lynchburg Virginia,23226
in,Mexico,23288
of,Yucca Mountain,23311
of,Tamaulipas Mexico,23316
of,Miami Florida,23335
in,Illinois,23379
to,come into the United States,23387
to,Manhattan,23389
to,anaheim California,23397
of,Canada,23443
of,Fiji,23453
of,Australia,23471
in,Canada,23501
of,Austria,23540
in,New York,23577
of,this Archipelago,23601
of,Hungary,23625
to,berkeley California,23638
of,Portland,23815
in,Africa,24114
for,Yuma Arizona,24522
